iter	MultiClass
0	1.748529214
1	1.717040602
2	1.689813758
3	1.664477607
4	1.639729908
5	1.622388548
6	1.60470646
7	1.588327141
8	1.575014021
9	1.563473661
10	1.551680882
11	1.541795303
12	1.531506615
13	1.521789466
14	1.511828228
15	1.502766748
16	1.493830045
17	1.485704771
18	1.478584492
19	1.473602357
20	1.46834947
21	1.460433131
22	1.454229099
23	1.448395227
24	1.44285783
25	1.437401839
26	1.431169422
27	1.424363303
28	1.420327684
29	1.414014159
30	1.409243228
31	1.404315386
32	1.398832318
33	1.391912901
34	1.387478618
35	1.382919013
36	1.377846493
37	1.373505297
38	1.368699342
39	1.364262089
40	1.359896334
41	1.355494696
42	1.351880693
43	1.347427185
44	1.340690182
45	1.336850347
46	1.333724106
47	1.329860942
48	1.325976425
49	1.322032724
50	1.317556825
51	1.313097219
52	1.309519134
53	1.306194273
54	1.302376918
55	1.299427114
56	1.29631288
57	1.290888675
58	1.287207246
59	1.283419953
60	1.279943299
61	1.276296651
62	1.273114081
63	1.269716325
64	1.267177845
65	1.26280832
66	1.25940588
67	1.25654861
68	1.252937828
69	1.250091873
70	1.247213603
71	1.243524283
72	1.24001384
73	1.237130488
74	1.234290265
75	1.231945361
76	1.229378261
77	1.226287539
78	1.223245103
79	1.220132965
80	1.217334355
81	1.214688141
82	1.212187667
83	1.209840389
84	1.207336431
85	1.204313062
86	1.201840519
87	1.198646917
88	1.196156018
89	1.192815132
90	1.190140796
91	1.187472884
92	1.184471897
93	1.182264808
94	1.179842716
95	1.177237904
96	1.17469001
97	1.171612744
98	1.168438766
99	1.165652263
100	1.1629582
101	1.160641268
102	1.157962721
103	1.156045245
104	1.15374525
105	1.151513275
106	1.148953126
107	1.14610856
108	1.14378159
109	1.141004236
110	1.138892016
111	1.136011217
112	1.133562558
113	1.13077237
114	1.128205067
115	1.125715723
116	1.123005874
117	1.120848326
118	1.118262155
119	1.115880116
120	1.113823046
121	1.111924864
122	1.1095228
123	1.107325552
124	1.105408025
125	1.103113163
126	1.101120448
127	1.098722223
128	1.096516324
129	1.094471151
130	1.092232233
131	1.090142962
132	1.088251382
133	1.085988846
134	1.084080223
135	1.082083688
136	1.079332345
137	1.077490189
138	1.075532071
139	1.07373717
140	1.071556621
141	1.069454312
142	1.067132383
143	1.06490532
144	1.062817081
145	1.060975391
146	1.058963323
147	1.057144298
148	1.055172227
149	1.053318947
150	1.050954645
151	1.048830063
152	1.047020817
153	1.04521997
154	1.043512002
155	1.041783541
156	1.039977423
157	1.038201017
158	1.03637321
159	1.034737634
160	1.03291888
161	1.031243889
162	1.029519701
163	1.027804369
164	1.026287345
165	1.024700547
166	1.023012939
167	1.021169231
168	1.019633073
169	1.017914802
170	1.016114312
171	1.014464075
172	1.012792985
173	1.011235929
174	1.009425473
175	1.007528028
176	1.005807671
177	1.003998746
178	1.002420353
179	1.000834796
180	0.9993422457
181	0.9974755123
182	0.9954200763
183	0.9939236085
184	0.9921400684
185	0.9902853172
186	0.988453225
187	0.9867815033
188	0.9853135097
189	0.9835036611
190	0.9819779174
191	0.9805359695
192	0.9790774714
193	0.9773830637
194	0.9758852767
195	0.974391139
196	0.9729539883
197	0.9713855444
198	0.9696967229
199	0.9683568954
200	0.9667916747
201	0.9654326513
202	0.9640998057
203	0.9625626391
204	0.9610149172
205	0.9593734819
206	0.9580333773
207	0.9565741451
208	0.9551664671
209	0.9537599469
210	0.9522437318
211	0.9508974498
212	0.9494321522
213	0.9480419142
214	0.9464759974
215	0.9449368014
216	0.9436764499
217	0.9421030465
218	0.9404003859
219	0.938492267
220	0.9371359549
221	0.9356898823
222	0.9342794831
223	0.9328021254
224	0.9313589028
225	0.9300652836
226	0.9288270105
227	0.9275304931
228	0.9261099847
229	0.9247851235
230	0.923399425
231	0.9220442144
232	0.9208679382
233	0.9195806754
234	0.9183537906
235	0.9170104663
236	0.9155656369
237	0.9142844652
238	0.9127227804
239	0.9113530783
240	0.9101035864
241	0.9085806062
242	0.9074862271
243	0.906338605
244	0.9050120724
245	0.9037710989
246	0.9026240937
247	0.9011054752
248	0.8996396237
249	0.8984479273
250	0.8972888646
251	0.8960430427
252	0.8949022821
253	0.8934987516
254	0.8922968142
255	0.8910813837
256	0.8899021335
257	0.8887045291
258	0.8875498017
259	0.8862802447
260	0.8848346103
