iter	Passed	Remaining
401	14148	21047
402	14177	21002
403	14206	20957
404	14237	20917
405	14269	20876
406	14299	20834
407	14331	20794
408	14360	20750
409	14389	20706
410	14424	20671
411	14457	20633
412	14497	20605
413	14533	20571
414	14570	20538
415	14605	20503
416	14641	20469
417	14674	20432
418	14713	20401
419	14750	20369
420	14788	20339
421	14830	20312
422	14868	20281
423	14904	20247
424	14944	20219
425	14980	20185
426	15017	20152
427	15056	20122
428	15087	20081
429	15128	20054
430	15165	20021
431	15202	19987
432	15243	19960
433	15277	19923
434	15316	19893
435	15355	19864
436	15415	19859
437	15457	19832
438	15491	19796
439	15524	19758
440	15561	19725
441	15597	19690
442	15631	19654
443	15668	19621
444	15712	19597
445	15750	19563
446	15784	19527
447	15818	19490
448	15855	19457
449	15900	19433
450	15940	19404
451	15984	19378
452	16022	19347
453	16059	19313
454	16102	19287
455	16138	19252
456	16169	19212
457	16210	19183
458	16246	19148
459	16276	19107
460	16307	19066
461	16337	19025
462	16367	18983
463	16402	18948
464	16437	18912
465	16470	18873
466	16513	18847
467	16551	18814
468	16586	18779
469	16626	18749
470	16664	18716
471	16706	18688
472	16746	18657
473	16786	18627
474	16821	18592
475	16864	18564
476	16904	18534
477	16943	18503
478	16981	18470
479	17020	18438
480	17057	18405
481	17096	18373
482	17134	18340
483	17171	18307
484	17213	18278
485	17251	18245
486	17301	18224
487	17339	18192
488	17377	18159
489	17413	18124
490	17450	18090
491	17487	18056
492	17524	18021
493	17568	17995
494	17603	17959
495	17634	17918
496	17665	17878
497	17694	17836
498	17729	17800
499	17761	17761
500	17792	17721
501	17822	17680
502	17853	17640
503	17884	17600
504	17916	17561
505	17953	17527
506	17986	17489
507	18018	17451
508	18052	17414
509	18084	17375
510	18114	17335
511	18143	17293
512	18172	17251
513	18201	17210
514	18230	17168
515	18259	17127
516	18289	17086
517	18319	17045
518	18348	17005
519	18379	16965
520	18413	16929
521	18442	16888
522	18474	16849
523	18504	16809
524	18535	16770
525	18565	16730
526	18594	16689
527	18623	16648
528	18652	16607
529	18681	16566
530	18713	16528
531	18746	16490
532	18777	16452
533	18808	16413
534	18837	16373
535	18867	16332
536	18896	16292
537	18925	16252
538	18955	16212
539	18986	16173
540	19015	16133
541	19044	16092
542	19076	16054
543	19109	16017
544	19144	15982
545	19176	15944
546	19206	15905
547	19235	15866
548	19272	15832
549	19304	15794
550	19334	15755
551	19371	15722
552	19405	15685
553	19435	15646
554	19465	15607
555	19494	15567
556	19522	15527
557	19551	15487
558	19580	15447
559	19610	15408
560	19641	15369
561	19671	15331
562	19700	15291
563	19729	15251
564	19758	15212
565	19787	15172
566	19819	15135
567	19851	15098
568	19881	15059
569	19911	15021
570	19940	14981
571	19969	14942
572	19999	14903
573	20028	14863
574	20057	14825
575	20087	14786
576	20117	14748
577	20146	14709
578	20179	14672
579	20212	14636
580	20243	14599
581	20274	14561
582	20304	14523
583	20335	14485
584	20370	14451
585	20405	14416
586	20435	14377
587	20463	14338
588	20493	14300
589	20523	14262
590	20553	14224
591	20599	14197
592	20629	14158
593	20658	14120
594	20687	14081
595	20720	14045
596	20751	14008
597	20786	13973
598	20832	13946
599	20877	13918
600	20910	13882
601	20955	13854
602	20992	13821
603	21033	13790
604	21069	13756
605	21109	13724
606	21143	13689
607	21180	13655
608	21227	13628
609	21274	13601
610	21310	13567
611	21347	13534
612	21382	13499
613	21430	13472
614	21468	13439
615	21503	13404
616	21539	13370
617	21571	13333
618	21605	13298
619	21639	13262
620	21670	13225
621	21700	13187
622	21730	13149
623	21759	13111
624	21799	13079
625	21829	13041
626	21859	13003
627	21889	12966
628	21920	12929
629	21950	12891
630	21987	12857
631	22019	12821
632	22051	12784
633	22083	12748
634	22117	12713
635	22152	12678
636	22187	12643
637	22219	12607
638	22250	12570
639	22284	12534
640	22316	12498
641	22353	12465
642	22390	12431
643	22423	12395
644	22457	12360
645	22491	12325
646	22525	12289
647	22556	12253
648	22589	12216
649	22624	12182
650	22657	12146
651	22690	12110
652	22723	12074
653	22753	12037
654	22782	11999
655	22816	11964
656	22861	11935
657	22891	11898
658	22923	11861
659	22952	11824
660	22981	11786
661	23010	11748
662	23041	11712
663	23071	11674
664	23102	11637
665	23132	11600
666	23161	11563
667	23190	11525
668	23219	11488
669	23248	11450
670	23278	11413
671	23308	11376
672	23340	11340
673	23374	11305
674	23408	11270
675	23442	11235
676	23471	11198
677	23501	11161
678	23532	11125
679	23567	11090
680	23601	11055
681	23631	11018
682	23660	10981
683	23688	10943
684	23718	10907
685	23750	10871
686	23782	10835
687	23814	10799
688	23844	10762
689	23873	10725
690	23902	10688
691	23931	10651
692	23963	10616
693	23994	10579
694	24026	10544
695	24056	10507
696	24085	10470
697	24115	10433
698	24143	10396
699	24172	10359
700	24203	10323
701	24234	10287
702	24263	10250
703	24294	10214
704	24332	10181
705	24366	10147
706	24396	10110
707	24426	10074
708	24456	10037
709	24487	10001
710	24520	9966
711	24550	9930
712	24579	9893
713	24607	9856
714	24641	9822
715	24674	9786
716	24706	9751
717	24736	9715
718	24765	9679
719	24794	9642
720	24824	9606
721	24854	9569
722	24884	9533
723	24914	9497
724	24946	9462
725	24977	9426
726	25006	9390
727	25036	9354
728	25065	9318
729	25095	9281
730	25125	9245
731	25154	9209
732	25184	9173
733	25213	9137
734	25242	9100
735	25271	9064
736	25301	9028
737	25336	8994
738	25367	8959
739	25397	8923
740	25427	8887
741	25456	8851
742	25486	8815
743	25520	8781
744	25553	8746
745	25586	8711
746	25618	8676
747	25650	8641
748	25678	8605
749	25711	8570
750	25744	8535
751	25776	8500
752	25810	8466
753	25846	8432
754	25875	8396
755	25904	8360
756	25933	8324
757	25964	8289
758	25995	8254
759	26027	8219
760	26058	8184
761	26088	8148
762	26117	8112
763	26146	8076
764	26174	8040
765	26204	8005
766	26238	7970
767	26272	7936
768	26302	7900
769	26343	7868
770	26373	7833
771	26402	7797
772	26433	7762
773	26464	7727
774	26494	7691
775	26525	7656
